country,,,
Afghanistan,Afghanistan,21.71,AFG
Albania,Albania,13.4,ALB
Algeria,Algeria,227.8,DZA
Angola,Angola,131.4,AGO
Armenia,Armenia,10.88,ARM
Azerbaijan,Azerbaijan,77.91,AZE
Bahrain,Bahrain,34.05,BHR
Bangladesh,Bangladesh,186.6,BGD
Belarus,Belarus,75.25,BLR
Bhutan,Bhutan,2.09,BTN
Bolivia,Bolivia,34.08,BOL
Bosnia and Herzegovina,Bosnia and Herzegovina,19.55,BIH
Brazil,Brazil,2244,BRA
Bulgaria,Bulgaria,55.08,BGR
Burkina Faso,Burkina Faso,13.38,BFA
Burma,Burma,65.29,MMR
Burundi,Burundi,3.04,BDI
Cambodia,Cambodia,16.9,KHM
Cameroon,Cameroon,32.16,CMR
Central African Republic,Central African Republic,1.73,CAF
Chad,Chad,15.84,TCD
Colombia,Colombia,400.1,COL
Cote d'Ivoire,Cote d'Ivoire,33.96,CIV
Cuba,Cuba,77.15,CUB
Djibouti,Djibouti,1.58,DJI
Dominican Republic,Dominican Republic,64.05,DOM
Ecuador,Ecuador,100.5,ECU
Egypt,Egypt,284.9,EGY
El Salvador,El Salvador,25.14,SLV
Eritrea,Eritrea,3.87,ERI
Ethiopia,Ethiopia,49.86,ETH
Fiji,Fiji,4.17,FJI
Georgia,Georgia,16.13,GEO
Ghana,Ghana,35.48,GHA
Guatemala,Guatemala,58.3,GTM
Guinea,Guinea,6.77,GIN
Guyana,Guyana,3.14,GUY
Haiti,Haiti,8.92,HTI
Honduras,Honduras,19.37,HND
India,India,2048,IND
Indonesia,Indonesia,856.1,IDN
Iran,Iran,402.7,IRN
Iraq,Iraq,232.2,IRQ
Israel,Israel,305,ISR
Jamaica,Jamaica,13.92,JAM
Jordan,Jordan,36.55,JOR
Kazakhstan,Kazakhstan,225.6,KAZ
Kenya,Kenya,62.72,KEN
Kosovo,Kosovo,5.99,KSV
Kuwait,Kuwait,179.3,KWT
Kyrgyzstan,Kyrgyzstan,7.65,KGZ
Laos,Laos,11.71,LAO
Lebanon,Lebanon,47.5,LBN
Liberia,Liberia,2.07,LBR
Libya,Libya,49.34,LBY
Macedonia,Macedonia,10.92,MKD
Madagascar,Madagascar,11.19,MDG
Malaysia,Malaysia,336.9,MYS
Mali,Mali,12.04,MLI
Mauritania,Mauritania,4.29,MRT
Mexico,Mexico,1296,MEX
Moldova,Moldova,7.74,MDA
Mongolia,Mongolia,11.73,MNG
Morocco,Morocco,112.6,MAR
Nepal,Nepal,19.64,NPL
Nicaragua,Nicaragua,11.85,NIC
Niger,Niger,8.29,NER
Nigeria,Nigeria,594.3,NGA
Pakistan,Pakistan,237.5,PAK
Peru,Peru,208.2,PER
Philippines,Philippines,284.6,PHL
Romania,Romania,199,ROU
Russia,Russia,2057,RUS
Rwanda,Rwanda,8,RWA
Saudi Arabia,Saudi Arabia,777.9,SAU
Senegal,Senegal,15.88,SEN
Sierra Leone,Sierra Leone,5.41,SLE
Somalia,Somalia,2.37,SOM
Sri Lanka,Sri Lanka,71.57,LKA
Sudan,Sudan,70.03,SDN
Syria,Syria,64.7,SYR
Tajikistan,Tajikistan,9.16,TJK
Tanzania,Tanzania,36.62,TZA
Togo,Togo,4.84,TGO
Tunisia,Tunisia,49.12,TUN
Turkey,Turkey,813.3,TUR
Turkmenistan,Turkmenistan,43.5,TKM
Uganda,Uganda,26.09,UGA
Ukraine,Ukraine,134.9,UKR
United Arab Emirates,United Arab Emirates,416.4,ARE
Uzbekistan,Uzbekistan,63.08,UZB
Venezuela,Venezuela,209.2,VEN
Vietnam,Vietnam,187.8,VNM
Yemen,Yemen,45.45,YEM
Zimbabwe,Zimbabwe,13.74,ZWE
